tract_fips,population,lat,lon,California County,nearest_station_km,access_all_5km,access_nevi_5km,gini_all_5km,gini_nevi_5km,access_all_5km_pct,access_nevi_5km_pct
6037121802,3216,34.2192112,-118.3913647,Los Angeles,0.318003952,0.005316165,0,0.998590936,0.999997162,0.850938967,0.328638498
6037121900,3761,34.217858,-118.3831998,Los Angeles,0.748153316,0.004916375,0,0.998590936,0.999997162,0.828638498,0.328638498
6037122000,5892,34.2147689,-118.4183782,Los Angeles,1.004033139,0.005206352,0,0.998590936,0.999997162,0.842723005,0.328638498
6037122120,5011,34.2107757,-118.3719094,Los Angeles,0.751368604,0.00493832,0,0.998590936,0.999997162,0.829812207,0.328638498
6037122121,2829,34.2142143,-118.3705556,Los Angeles,0.361092753,0.002860157,0,0.998590936,0.999997162,0.667840376,0.328638498
6037122122,2728,34.2197648,-118.3736105,Los Angeles,0.370165072,0.003142539,0,0.998590936,0.999997162,0.703051643,0.328638498
6037122200,3469,34.2143159,-118.3594527,Los Angeles,1.092214026,0.002455978,0,0.998590936,0.999997162,0.618544601,0.328638498
6037122410,3457,34.2044832,-118.3919739,Los Angeles,0.518181524,0.003056175,0,0.998590936,0.999997162,0.692488263,0.328638498
6037122420,4503,34.20361,-118.3832842,Los Angeles,0.28704564,0.002662719,0,0.998590936,0.999997162,0.643192488,0.328638498
6037123010,4027,34.2027436,-118.3745717,Los Angeles,0.456456748,0.003198409,0,0.998590936,0.999997162,0.711267606,0.328638498
6037123020,3250,34.2047368,-118.3664946,Los Angeles,0.622804332,0.002166096,0,0.998590936,0.999997162,0.566901408,0.328638498
6037123103,3808,34.192132,-118.365403,Los Angeles,0.686015812,0.001625531,0,0.998590936,0.999997162,0.447183099,0.328638498
6037123104,4416,34.1828906,-118.3650028,Los Angeles,0.551685299,0.001882042,0,0.998590936,0.999997162,0.516431925,0.328638498
6037123203,4094,34.1967006,-118.3916113,Los Angeles,0.225600472,0.001416454,0,0.998590936,0.999997162,0.387323944,0.328638498
6037123204,3129,34.193936,-118.3943295,Los Angeles,0.282730104,0.001373747,0,0.998590936,0.999997162,0.376760563,0.328638498
6037123205,2492,34.1945637,-118.3835614,Los Angeles,0.720136187,0.001221464,0,0.998590936,0.999997162,0.333333333,0.328638498
6037123206,2572,34.1937075,-118.3748665,Los Angeles,0.825267541,0.000595609,0,0.998590936,0.999997162,0.158450704,0.328638498
6037123301,4530,34.2003101,-118.4001225,Los Angeles,0.203391064,0.000783701,0,0.998590936,0.999997162,0.223004695,0.328638498
6037123303,3087,34.1972751,-118.4116037,Los Angeles,0.212805806,0.001227346,0,0.998590936,0.999997162,0.33685446,0.328638498
6037123304,4362,34.1965389,-118.4060882,Los Angeles,0.474186093,0.000997037,0,0.998590936,0.999997162,0.266431925,0.328638498
6037123410,4181,34.1993793,-118.4214325,Los Angeles,0.222820988,0.000801683,0,0.998590936,0.999997162,0.225352113,0.328638498
6037123420,4408,34.193033,-118.4146718,Los Angeles,0.370840093,0.000852877,0,0.998590936,0.999997162,0.244131455,0.328638498
6037123510,4795,34.1953384,-118.4290714,Los Angeles,0.179083169,0.002930076,0,0.998590936,0.999997162,0.678403756,0.328638498
6037123520,2816,34.1884912,-118.423608,Los Angeles,0.160475992,0.001545845,0,0.998590936,0.999997162,0.422535211,0.328638498
6037123800,6018,34.1797368,-118.4014361,Los Angeles,0.390766969,0.002018817,0,0.998590936,0.999997162,0.548122066,0.328638498
6037123901,4696,34.1854544,-118.3938003,Los Angeles,0.261237375,0.001422337,0,0.998590936,0.999997162,0.389671362,0.328638498
6037124102,3551,34.1757824,-118.3833988,Los Angeles,0.514417207,0.000915809,0,0.998590936,0.999997162,0.25,0.328638498
6037124103,1950,34.1884919,-118.3834122,Los Angeles,0.633416946,0.000687425,0,0.998590936,0.999997162,0.203051643,0.328638498
6037124104,2492,34.1848613,-118.38341,Los Angeles,0.385238482,0.001052191,0,0.998590936,0.999997162,0.285211268,0.328638498
6037124105,2538,34.1812289,-118.3834061,Los Angeles,0.470942907,0.00132126,0,0.998590936,0.999997162,0.363849765,0.328638498
6037124201,3348,34.1848664,-118.3746763,Los Angeles,0.405416331,0.001628919,0,0.998590936,0.999997162,0.449530516,0.328638498
6037124203,2384,34.1776041,-118.374665,Los Angeles,0.380126656,0.001626283,0,0.998590936,0.999997162,0.448356808,0.328638498
6037124204,2192,34.1739725,-118.3746553,Los Angeles,0.026267751,0.000928486,0,0.998590936,0.999997162,0.253521127,0.328638498
6037124300,2988,34.1757378,-118.3642963,Los Angeles,0.356979742,0.000824879,0,0.998590936,0.999997162,0.228873239,0.328638498
6037125310,4313,34.1695168,-118.366031,Los Angeles,0.172397717,0.000992333,0,0.998590936,0.999997162,0.265258216,0.328638498
6037125320,5106,34.1666765,-118.3701944,Los Angeles,0.291174434,0.000732487,0,0.998590936,0.999997162,0.213615023,0.328638498
6037125501,3052,34.1622937,-118.3657855,Los Angeles,0.270456955,0.00062361,0,0.998590936,0.999997162,0.17370892,0.328638498
6037127102,5779,34.2060073,-118.4445253,Los Angeles,0.209001723,0.000599288,0,0.998590936,0.999997162,0.160798122,0.328638498
6037127103,3109,34.2043745,-118.4301703,Los Angeles,0.01459328,0.000622499,0,0.998590936,0.999997162,0.172535211,0.328638498
